,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
1145,1145,Cucurbita,Kusa,,128,All-Stars: Judge Remix,4/29/2012,,,
1146,1146,,Labne,Strained yogurt,112,Far Far Out!,1/10/2012,,http://en.wikipedia.org/wiki/Strained_yogurt,"Strained yogurt, yogurt cheese, labneh (Arabic: ŸÑÿ®ŸÜÿ©‚Äé labanah), or Greek yogurt is yogurt which has been strained in a cloth or paper bag or filter to remove the whey, giving a consistency between that of yogurt and cheese, while preserving yogurt's distinctive sour taste. Like many yogurts, strained yogurt is often made from milk which has been enriched by boiling off some of the water content, and sometimes by adding extra butterfat and powdered milk.
Yogurt strained through muslin is a traditional food in the Levant, Eastern Mediterranean, Near East, and South Asia, where it is often used in cooking, as it is high enough in fat not to curdle at higher temperatures. Dishes may be cooked or raw, and may be savoury or sweet. "
1147,1147,,Labneh in Olive Oil,Strained yogurt,175,Chopped All-Stars: Mega Chefs,4/14/2013,,http://en.wikipedia.org/wiki/Strained_yogurt,"Strained yogurt, yogurt cheese, labneh (Arabic: ŸÑÿ®ŸÜÿ©‚Äé labanah), or Greek yogurt is yogurt which has been strained in a cloth or paper bag or filter to remove the whey, giving a consistency between that of yogurt and cheese, while preserving yogurt's distinctive sour taste. Like many yogurts, strained yogurt is often made from milk which has been enriched by boiling off some of the water content, and sometimes by adding extra butterfat and powdered milk.
Yogurt strained through muslin is a traditional food in the Levant, Eastern Mediterranean, Near East, and South Asia, where it is often used in cooking, as it is high enough in fat not to curdle at higher temperatures. Dishes may be cooked or raw, and may be savoury or sweet. "
1148,1148,,Lacinato Kale,Lacinato kale,162,Trout Bout,12/18/2012,,http://en.wikipedia.org/wiki/Lacinato_kale,"Lacinato kale is a variety of kale with a long tradition in Italian cuisine, especially that of Tuscany (although the term ""lacinato"" is not known in Italy). It is also known as Tuscan kale, Tuscan cabbage, Italian kale, Dinosaur kale, cavolo nero (may be misspelled as cavalo nero), black kale, flat back cabbage, palm tree kale, or black Tuscan palm. Lacinato kale has been grown in Tuscany for centuries. It is one of the traditional ingredients of minestrone and ribollita.
"
1149,1149,Gala (apple),Lady Gala Apples,,92,My Way,8/9/2011,,,
1150,1150,Gala (apple),Lady Gala Apples,,194,Mix and Mache,6/16/2013,Roy Handler is the brother of comedienne Chelsea Handler. The Kaiserschmarrn in the dessert round was an instant mix.,,
1151,1151,Gala (apple),Lady Gala Apples,,223,Hoofin' It!,1/21/2014,,,
1152,1152,Ladyfinger (biscuit),Ladyfingers,,135,Chocolate Challenge,6/19/2012,Each basket included a chocolate ingredient.,,
1153,1153,,Lamb Breast,Lamb and mutton,150,A Bunny Thing Happened,9/11/2012,Each basket contained an Easter-themed ingredient.,http://en.wikipedia.org/wiki/Lamb_and_mutton,"Lamb, hogget, and mutton (UK, Canada, New Zealand and Australia) are terms for the meat of domestic sheep (species Ovis aries) at different ages. A sheep in its first year is called a lamb; and its meat is also called lamb. The meat of a juvenile sheep older than one year is hogget; outside North America this was also a term for the living animal, but this meaning is now largely obsolete. The meat of an adult sheep is mutton, a term only used for the meat, not the living animals.
"
1154,1154,Lamb fries,Lamb Fries,,160,Bird in the Pan,11/27/2012,,,
1155,1155,Lamb fries,Lamb Fries,,188,Better Saffron Than Sorry,6/4/2013,Chef Ramborger is the first deaf chef to participate in the show. He was accompanied by interpreter Lydia Callis.,,
1156,1156,Lamb and mutton,Lamb Hearts,,63,Fright Bites,10/19/2010,"This was a Halloween-themed episode. The chefs were directed to prepare holiday-themed dishes for each course. In the entr√©e round, Chef Samsom rolled her tortillas on a cutting board that was cross-contaminated. The judges did not taste her dish as a result, and Chef Samsom was eliminated.",,
1157,1157,Lamb and mutton,Lamb Hearts,,90,Sweet Second Chance!,7/26/2011,"This episode featured four past non-winners. This was the first ""redemption"" episode to feature a non-runner-up as well as the first to feature two chefs from the same previous episode. Chef Magris slipped and fell during the entr√©e round. She spilled boiling water on herself, causing second-degree burns on both her legs. The judges gave Chef Magris the option to bow out of the competition before the judging in that round, but she elected to continue. Although Chef Nitahara won, he gave the $10,000 prize to Chef Magris so she could visit her ill grandmother in France.",,
1158,1158,Lamb and mutton,Lamb Hearts,,189,Take Heart,6/6/2013,Chef Frish serves as sous chef for Iron Chef Marc Forgione when he competes on Iron Chef America.,,
1159,1159,,Lamb Loin Chops,Loin chop,38,Against the Tide,4/19/2010,"This was the first episode to feature an ingredient, violet mustard, that the judges were not familiar with.",http://en.wikipedia.org/wiki/Loin_chop,"Loin chops can refer to either a commercial cut of pork, or lamb.
"
1160,1160,Lamb and mutton,Lamb Top Round,,86,Thyme Flies,6/28/2011,"Chef Lee cut himself during the entr√©e round. Despite putting on several layers of gloves, his bleeding did not stop. Chef Lee insisted on continuing to cook and touching the ingredients with his hands. The judges considered this unsanitary, so they did not taste his entr√©e. This resulted in Chef Lee being eliminated.",,
1161,1161,Lamb and mutton,Lamb's Head,,179,Heads Up!,4/2/2013,,,
1162,1162,,Lambic Beer,Lambic,46,Fired Up!,6/1/2010,"This was a grilling-themed episode. The stove tops were outfitted with grill sheets and two other burners, and the ovens were off-limits throughout the competition. Chef Jenkins is a chef at Butter, which is co-owned by Alex Guarnaschelli.",http://en.wikipedia.org/wiki/Lambic,"Lambic is a type of beer brewed traditionally in the Pajottenland region of Belgium (southwest of Brussels) and in Brussels itself at the Cantillon Brewery and museum. Lambic is now mainly consumed after refermentation, resulting in derived beers such as Gueuze or Kriek lambic.
Unlike conventional ales and lagers, which are fermented by carefully cultivated strains of brewer's yeasts, lambic beer is produced by spontaneous fermentation: it is exposed to the wild yeasts and bacteria that are said to be native to the Zenne valley, in which Brussels lies. It is this unusual process which gives the beer its distinctive flavour: dry, vinous, and cidery, usually with a sour aftertaste.
"
1163,1163,,Lap Cheong,Chinese sausage,67,Prove it on the Plate,1/11/2011,,http://en.wikipedia.org/wiki/Chinese_sausage,"Chinese sausage is a generic term referring to the many different types of sausages originating in China. The southern flavor of Chinese sausage is commonly known by its Cantonese name ""Lap Cheong"" or ""Lap Chong"" (traditional Chinese: ËáòËÖ∏; simplified Chinese: ËÖäËÇ†).
"
1164,1164,,Lap Cheong,Chinese sausage,120,Plenty of Fish,3/13/2012,"Chef Kave works at Fatty Crab and Fatty 'Cue, restaurants of Chopped judge Zakary Pelaccio.",http://en.wikipedia.org/wiki/Chinese_sausage,"Chinese sausage is a generic term referring to the many different types of sausages originating in China. The southern flavor of Chinese sausage is commonly known by its Cantonese name ""Lap Cheong"" or ""Lap Chong"" (traditional Chinese: ËáòËÖ∏; simplified Chinese: ËÖäËÇ†).
"
1165,1165,,Lap Cheong,Chinese sausage,149,Stacking Up,9/4/2012,,http://en.wikipedia.org/wiki/Chinese_sausage,"Chinese sausage is a generic term referring to the many different types of sausages originating in China. The southern flavor of Chinese sausage is commonly known by its Cantonese name ""Lap Cheong"" or ""Lap Chong"" (traditional Chinese: ËáòËÖ∏; simplified Chinese: ËÖäËÇ†).
"
1166,1166,,Lard,Lard,155,Pigging Out!,10/23/2012,"This was a ""nose-to-tail"" themed competition. The pig organs in the entr√©e round consisted of heart, liver, and kidneys, and the chefs were required to use all three of them. Chef Finn works at Fatty Crab, owned by Chopped judge Zakary Pelaccio.",http://en.wikipedia.org/wiki/Lard,"Lard is pig fat in both its rendered and unrendered forms. Lard was commonly used in many cuisines as a cooking fat or shortening, or as a spread similar to butter. Its use in contemporary cuisine has diminished; however, many contemporary cooks and bakers favor it over other fats for select uses. The culinary qualities of lard vary somewhat depending on the part of the pig from which the fat was taken and how the lard was processed.
"
1167,1167,,Lasagna,Lasagne,209,We Love Leftovers!,9/17/2013,The baskets are filled with leftovers.,http://en.wikipedia.org/wiki/Lasagne,"Lasagne (/l…ôÀàz√¶nj…ô/ or /l…ôÀàz…ëÀênj…ô/ or /l…ôÀàs…ëÀênj…ô/, Italian pronunciation: [laÀàza…≤…≤e], singular lasagna) are a wide, flat pasta shape, and possibly one of the oldest types of pasta. The word also refers to a dish made with several layers of lasagne sheets alternated with sauces and various other ingredients.
Lasagne originated in Italy, traditionally ascribed to the city of Bologna (Emilia-Romagna), in where the first modern receipe was created and published and became a traditional dish. Traditional lasagne is made by interleaving layers of pasta with layers of sauce, made with rag√π, bechamel, and Parmigiano-Reggiano. "
1168,1168,,Lassi,Lassi,193,Cleaver Fever,6/11/2013,,http://en.wikipedia.org/wiki/Lassi,"Lassi (Punjabi: ‡®≤‡©±‡®∏‡©Ä/ŸÑÿ≥€å, Sindhi ŸÑÿ≥Ÿä, Urdu: ŸÑÿ≥€å, Marathi: ‡§≤‡§∏‡•ç‡§∏‡•Ä, Gujarati: ‡™≤‡™∏‡´ç‡™∏‡´Ä, Bengali: ‡¶≤‡¶æ‡¶∏‡ßç‡¶Ø‡¶ø, Pashto: ÿ¥ŸàŸÖŸÑ€ê‚Äé) is a popular, traditional, yogurt-based drink. Lassi is a blend of yogurt, water, spices and sometimes, fruit. Traditional lassi (a.k.a., ""salted lassi"", or simply, ""lassi"") is a savory drink, sometimes flavored with ground and roasted cumin. Sweet lassi, however, contains sugar or fruits, instead of spices.
"
1169,1169,Cheese,Last Piece Of Cheese,,221,Waste Not,1/5/2014,Ingredients that are typically scrapped are used in the baskets.,,
1170,1170,,Lavash,Lavash,216,Cloche Call,11/19/2013,Chefs Josh and Mike are brothers with Josh being older.,http://en.wikipedia.org/wiki/Lavash,"Lavash (Armenian: ’¨’°’æ’°’∑; Turkish: lava≈ü; Persian: ŸÑŸàÿßÿ¥‚Äé) is a soft, thin flatbread of Armenian origin, popular in the Caucasus, Iran, Afghanistan, and Turkey.
"
1171,1171,,Leeks,Leek,15,High Hopes,6/23/2009,,http://en.wikipedia.org/wiki/Leek,"The leek is a vegetable that belongs, along with onion and garlic, to the genus Allium, currently placed in family Amaryllidaceae, subfamily Allioideae. Historically many scientific names were used for leeks, which are now treated as cultivars of Allium ampeloprasum. Two related vegetables, elephant garlic and Kurrat, are also cultivars of A. ampeloprasum, although different in their uses as food.
"
1172,1172,,Leeks,Leek,59,"$50,000 Tournament: Round Four",9/21/2010,,http://en.wikipedia.org/wiki/Leek,"The leek is a vegetable that belongs, along with onion and garlic, to the genus Allium, currently placed in family Amaryllidaceae, subfamily Allioideae. Historically many scientific names were used for leeks, which are now treated as cultivars of Allium ampeloprasum. Two related vegetables, elephant garlic and Kurrat, are also cultivars of A. ampeloprasum, although different in their uses as food.
"
1173,1173,,Leeks,Leek,93,A is for Apple. U is for Udon,8/16/2011,"This episode was dedicated to the memory of Debra Whiting, who was killed in a car accident June 30, 2011.",http://en.wikipedia.org/wiki/Leek,"The leek is a vegetable that belongs, along with onion and garlic, to the genus Allium, currently placed in family Amaryllidaceae, subfamily Allioideae. Historically many scientific names were used for leeks, which are now treated as cultivars of Allium ampeloprasum. Two related vegetables, elephant garlic and Kurrat, are also cultivars of A. ampeloprasum, although different in their uses as food.
"
1174,1174,Beer,Leftover Beer,,119,Leftovers Extravaganza!,3/6/2012,This was a leftovers competition. The white wine used in the entr√©e round was Chardonnay.,,
1175,1175,Refried beans,Leftover Refried Beans,,119,Leftovers Extravaganza!,3/6/2012,This was a leftovers competition. The white wine used in the entr√©e round was Chardonnay.,,
1176,1176,,Leftover Steamed Rice,Steamed rice,119,Leftovers Extravaganza!,3/6/2012,This was a leftovers competition. The white wine used in the entr√©e round was Chardonnay.,http://en.wikipedia.org/wiki/Steamed_rice,"Steamed rice refers to rice that has been cooked either by steaming or boiling.
It is a staple in Indonesia, Korea, China, Japan, Malaysia, Bangladesh, India, Pakistan, Vietnam, Thailand, Myanmar, Philippines, and numerous other Latin American and Asian countries. It is also used as a main ingredient in many dishes.
"
1177,1177,Cucumber,Lemon Cucumber,,123,All-Stars: Iron Chefs Do Battle,4/8/2012,This was the first of a five-part series of episodes in which categorical groups of celebrity chefs competed for charity.,,
1178,1178,,Lemon Curd,Fruit curd,95,Champions' Tournament: Part 2,9/6/2011,,http://en.wikipedia.org/wiki/Fruit_curd,"Fruit curd is a dessert spread and topping usually made with lemon, lime, orange or raspberry. Specific types of fruit curd are named after the central curd in them. The basic ingredients are beaten egg yolks, sugar, fruit juice and zest which are gently cooked together until thick and then allowed to cool, forming a soft, smooth, intensely flavored spread. Some recipes also include egg whites and/or butter.
"
1179,1179,Potato,Lemon Potatoes,,211,Liver and Learn,10/1/2013,"Chef Peacock's brother Darius Peacock is a two-time Chopped winner (in season 1 and in season 2's ""Chopped Champions"" event).",,
1180,1180,,Lemon Soda,Bitter lemon,222,Firefighter Chefs,1/12/2014,All contestants are firefighters.,http://en.wikipedia.org/wiki/Bitter_lemon,"Bitter lemon (Dry Lemon in South Africa) is a carbonated soft drink flavoured with quinine and lemon.
The signature bitter taste is produced by a combination of the quinine and the lemon pith used in manufacturing the drink. The principal difference between tonic water and bitter lemon is the addition of lemon juice and rind. Bitter lemon is drunk both by itself and as a mixer, and is sold across the world.
"
1181,1181,,Lemon Sorbet,Sorbet,152,No Kidding!,10/2/2012,"This episode featured four teen chefs. The chefs were given 30 minutes instead of the usual 20 in the appetizer round. The three chopped chefs each received a $1,000 gift certificate to Food Network's online store.",http://en.wikipedia.org/wiki/Sorbet,"Sorbet /s…îrÀàbe…™/ is a frozen dessert made from sweetened water with flavouring (typically fruit juice or fruit pur√©e, wine, and/or liqueur).
"
1182,1182,,Lemon Thyme,Thyme,86,Thyme Flies,6/28/2011,"Chef Lee cut himself during the entr√©e round. Despite putting on several layers of gloves, his bleeding did not stop. Chef Lee insisted on continuing to cook and touching the ingredients with his hands. The judges considered this unsanitary, so they did not taste his entr√©e. This resulted in Chef Lee being eliminated.",http://en.wikipedia.org/wiki/Thyme,"Thyme /Ààta…™m/ is any of several species of culinary and medicinal herbs of the genus Thymus, most commonly Thymus vulgaris.
"
1183,1183,,Lemon Verbena,Aloysia citrodora,88,Easy Peasy?,7/12/2011,This is the first episode to feature four British chefs.,http://en.wikipedia.org/wiki/Aloysia_citrodora,"Aloysia citrodora is a species of flowering plant in the verbena family Verbenaceae, native to western South America. Common names include lemon verbena and lemon beebrush. It was brought to Europe by the Spanish and the Portuguese in the 17th century and cultivated for its oil.
"
1184,1184,,Lemon Verbena,Aloysia citrodora,162,Trout Bout,12/18/2012,,http://en.wikipedia.org/wiki/Aloysia_citrodora,"Aloysia citrodora is a species of flowering plant in the verbena family Verbenaceae, native to western South America. Common names include lemon verbena and lemon beebrush. It was brought to Europe by the Spanish and the Portuguese in the 17th century and cultivated for its oil.
"
1185,1185,,Lemon Verbena,Aloysia citrodora,181,Aussie Awesome,4/16/2013,The basket ingredients were inspired by the Australian theme.,http://en.wikipedia.org/wiki/Aloysia_citrodora,"Aloysia citrodora is a species of flowering plant in the verbena family Verbenaceae, native to western South America. Common names include lemon verbena and lemon beebrush. It was brought to Europe by the Spanish and the Portuguese in the 17th century and cultivated for its oil.
"
1186,1186,,Lemon-lime Soda,Lemon-lime,59,"$50,000 Tournament: Round Four",9/21/2010,,http://en.wikipedia.org/wiki/Lemon-lime,"Lemon-lime is a common carbonated soft drink flavor, consisting of lemon and lime flavoring. Sprite, 7 Up, and Sierra Mist are the most popular examples.
"
1187,1187,,Lemon-lime Soda,Lemon-lime,103,One in a Hundred,11/1/2011,,http://en.wikipedia.org/wiki/Lemon-lime,"Lemon-lime is a common carbonated soft drink flavor, consisting of lemon and lime flavoring. Sprite, 7 Up, and Sierra Mist are the most popular examples.
"
1188,1188,,Lemon-lime Sports Drink,Gatorade,207,Sports Stars,9/3/2013,All of the chefs are sports stars.,http://en.wikipedia.org/wiki/Gatorade,"The Gatorade Company, Inc. is a brand of sports-themed beverage and food products, built around its signature line of sports drinks. Gatorade is currently manufactured by PepsiCo and distributed in over 80 countries. The beverage was first developed in 1965 by researchers at the University of Florida, to replenish the combination of water, carbohydrates, and electrolytes that the school's student-athletes lost in sweat during rigorous athletic competitions. "
1189,1189,,Lemongrass,Cymbopogon,20,"Pods, Grills and Sticky Fingers",7/28/2009,,http://en.wikipedia.org/wiki/Cymbopogon,"Cymbopogon, commonly known as lemongrass is a genus of about 45 species of grasses, (of which the type species is Cymbopogon citratus, a natural and soft tea anxiolytic[citation needed]) native to warm temperate and tropical regions of the Old World and Oceania. It is a tall perennial grass. Common names include lemon grass, lemongrass, barbed wire grass, silky heads, citronella grass, cha de Dartigalongue, fever grass, tanglad, hierba Luisa, or gavati chaha, amongst many others.
"
1190,1190,,Lemongrass,Cymbopogon,118,"Good Chop, Bad Chop?",2/21/2012,,http://en.wikipedia.org/wiki/Cymbopogon,"Cymbopogon, commonly known as lemongrass is a genus of about 45 species of grasses, (of which the type species is Cymbopogon citratus, a natural and soft tea anxiolytic[citation needed]) native to warm temperate and tropical regions of the Old World and Oceania. It is a tall perennial grass. Common names include lemon grass, lemongrass, barbed wire grass, silky heads, citronella grass, cha de Dartigalongue, fever grass, tanglad, hierba Luisa, or gavati chaha, amongst many others.
"
1191,1191,,Lemons,Lemon,12,"Chocolate, Mussels and Figs",3/31/2009,,http://en.wikipedia.org/wiki/Lemon,"The lemon (Citrus √ó limon) is a small evergreen tree native to Asia, and the tree's ellipsoidal yellow fruit. The fruit is used for culinary and non-culinary purposes throughout the world, primarily for its juice, though the pulp and rind (zest) are also used in cooking and baking. The juice of the lemon is about 5% to 6% citric acid, which gives lemons a sour taste. The distinctive sour taste of lemon juice makes it a key ingredient in drinks and foods such as lemonade.
"
1192,1192,,Licorice Candy,Liquorice (confectionery),115,On the Line,1/31/2012,This is the first episode to feature four chefs who are natives of different countries.,http://en.wikipedia.org/wiki/Liquorice_(confectionery),"Liquorice is a confectionery flavoured with the extract of the roots of the liquorice plant. A wide variety of liquorice sweets are produced around the world. In North America, liquorice is called black licorice (see also spelling differences), to distinguish it from similar confectionery varieties that are not flavoured with liquorice extract, and commonly manufactured in the form of chewy ropes or tubes. In addition to these, various other liquorice-based sweets are sold in the United Kingdom, such as liquorice allsorts. "
1193,1193,,Lime Gelatin,Jello salad,180,Viewers Choice Baskets,4/9/2013,"All the ingredients in the baskets were chosen by viewers via social media (specifically Pinterest, Facebook and Twitter).",http://en.wikipedia.org/wiki/Jello_salad,"Jell-O salad (also called gelatin salad, jelly salad, congealed salad, or molded salad) is a salad made with flavored gelatin, fruit and sometimes grated carrots or, more rarely, other vegetables. Other ingredients may include cottage cheese, cream cheese, marshmallows, nuts or pretzels.
Because of its many elements, the result has speckled bits of color against a colored gelatin background. For example, one might have lime green gelatin with brown nuts or pretzels, bits of white from cottage cheese, and red and orange from the fruit cocktail. "
1194,1194,,Lime Pickles,Pickled lime,136,Pride of New Orleans,6/26/2012,This episode featured four chefs from New Orleans. The basket ingredients were also inspired by the New Orleans theme.,http://en.wikipedia.org/wiki/Pickled_lime,"Pickled lime is a food that involves the pickling of limes to preserve them and add flavor.
"
1195,1195,,Limoncello,Limoncello,28,"Oh My Goshy, Umeboshi",10/20/2009,"Chef Esmonde cut herself during the entr√©e round. After attempting to put on a glove that did not fit, she took it off and tossed her salad with her hands despite her open wound. As a result, the judges did not eat the salad and chopped her for her poor sanitation, rather than on the full merits of her food. Chef Baruch is a sous chef for Chopped judge Sue Torres.",http://en.wikipedia.org/wiki/Limoncello,"Limoncello (Italian pronunciation: [limonÀàt É…õllo]) is an Italian lemon liqueur mainly produced in Southern Italy, especially in the region around the Gulf of Naples, the Sorrentine Peninsula and the coast of Amalfi and islands of Procida, Ischia and Capri. It is also produced in Puglia, Sicily, Sardinia, Menton in France, and the Maltese island of Gozo. Even though there is debate about the exact origin of the drink, it is at least one hundred years old.
Traditionally, it is made from the zest of Femminello St. "
1196,1196,,Limoncello,Limoncello,122,Viewers' Choice!,4/3/2012,The basket items were determined via a viewer poll.,http://en.wikipedia.org/wiki/Limoncello,"Limoncello (Italian pronunciation: [limonÀàt É…õllo]) is an Italian lemon liqueur mainly produced in Southern Italy, especially in the region around the Gulf of Naples, the Sorrentine Peninsula and the coast of Amalfi and islands of Procida, Ischia and Capri. It is also produced in Puglia, Sicily, Sardinia, Menton in France, and the Maltese island of Gozo. Even though there is debate about the exact origin of the drink, it is at least one hundred years old.
Traditionally, it is made from the zest of Femminello St. "
1197,1197,,Limoncello,Limoncello,214,Competition Italiano,10/29/2013,This was an Italian-themed episode.,http://en.wikipedia.org/wiki/Limoncello,"Limoncello (Italian pronunciation: [limonÀàt É…õllo]) is an Italian lemon liqueur mainly produced in Southern Italy, especially in the region around the Gulf of Naples, the Sorrentine Peninsula and the coast of Amalfi and islands of Procida, Ischia and Capri. It is also produced in Puglia, Sicily, Sardinia, Menton in France, and the Maltese island of Gozo. Even though there is debate about the exact origin of the drink, it is at least one hundred years old.
Traditionally, it is made from the zest of Femminello St. "
1198,1198,Scallop,Live Diver Scallops,,93,A is for Apple. U is for Udon,8/16/2011,"This episode was dedicated to the memory of Debra Whiting, who was killed in a car accident June 30, 2011.",,
1199,1199,,Liverwurst,Liverwurst,57,"$50,000 Tournament: Round Two",9/7/2010,,http://en.wikipedia.org/wiki/Liverwurst,"The word liverwurst, also known as Kentucky pate, is an anglicization of German Leberwurst, meaning ""liver sausage"". It is a sausage eaten in large parts of Europe, including Germany, Austria, Poland, Hungary, Croatia, Slovenia, Serbia, the Netherlands, Finland, Denmark, Sweden, Norway and Romania (especially in Transylvania).
Most liverwurst varieties are spreadable. Liverwurst usually contains pigs' or calves' livers. "
1200,1200,,Lobster,Lobster,212,Brunch Boxes,10/15/2013,Each basket contained ingredients commonly used to prepare brunch dishes.,http://en.wikipedia.org/wiki/Lobster,"Clawed lobsters comprise a family (Nephropidae, sometimes also Homaridae) of large marine crustaceans. They have long bodies with muscular tails, and live in crevices or burrows on the sea floor. Three of their five pairs of legs have claws, including the first pair, which are usually much larger than the others. Highly prized as seafood, lobsters are economically important, and are often one of the most profitable commodities in coastal areas they populate. "
1201,1201,,Local Honey,Honey,190,Wheatgrass Roots,6/18/2013,This was a vegetarian and vegan-themed episode; the only animal product was the local honey.,http://en.wikipedia.org/wiki/Honey,"Honey /Ààh åni/ is a sweet food made by bees using nectar from flowers. The variety produced by honey bees (the genus Apis) is the one most commonly referred to, as it is the type of honey collected by most beekeepers and consumed by people. Honeys produced by other bees (bumblebees, stingless bees) and insects (honey wasps) have different properties, and they are not discussed in this article.
Honey bees transform nectar into honey by a process of regurgitation and evaporation. "
1202,1202,,Long Beans,Vigna unguiculata subsp. sesquipedalis,45,First Things Worst,5/11/2010,,http://en.wikipedia.org/wiki/Vigna_unguiculata_subsp._sesquipedalis,"Vigna unguiculata subsp. sesquipedalis is a legume cultivated to be eaten as green pods. It is known as the yardlong bean, bora, long-podded cowpea, asparagus bean, pea bean, snake bean, or Chinese long bean. Despite the common name, the pods are actually only about half a yard long; the subspecies name sesquipedalis (one-and-a-half-foot-long) is a rather exact approximation of the pods' length.
"
1203,1203,,Loquats,Loquat,115,On the Line,1/31/2012,This is the first episode to feature four chefs who are natives of different countries.,http://en.wikipedia.org/wiki/Loquat,"The loquat (Eriobotrya japonica) is a species of flowering plant in the family Rosaceae, native to south-central China. It is a large evergreen shrub or small tree, grown commercially for its yellow fruit, and also cultivated as an ornamental plant. It was formerly thought to be closely related to the genus Mespilus, and is still sometimes known as the Japanese medlar. It is also known as Japanese plum and Chinese plum. "
1204,1204,,Lump Crab Meat,Crab meat,161,Thirsty for Victory,12/11/2012,"Chef Grossman was 16-years old at the time he competed, making him the youngest chef to appear on Chopped outside the special ""teen chefs"" episode.",http://en.wikipedia.org/wiki/Crab_meat,"Crab meat or crabmeat is the meat found within a crab. It is used in many cuisines across the world, prized for its soft, delicate[clarification needed], sweet taste. Brown crab (Cancer pagurus), blue crabs (Callinectes sapidus), blue swimming crabs (Portunus pelagicus), red swimming crabs (Portunus haanii) are among the most commercially available species of crabmeat globally.[citation needed] In some fisheries, crab meat is harvested by declawing of crabs.  This is the process whereby one or both claws of a live crab are manually pulled off and the animal is then returned to the water. "
1205,1205,Lychee,Lychees In Syrup,,79,"Canned Cheese, Please!",5/10/2011,"Chef Ricks is a chef at Landmarc, a restaurant of frequent Chopped judge, Marc Murphy.",,
1206,1206,,Mâche,Valerianella locusta,126,Own It!,4/17/2012,,http://en.wikipedia.org/wiki/Valerianella_locusta,"Valerianella locusta is a small dicot annual plant of the family Valerianaceae that is an edible leaf vegetable with a characteristic nutty flavor, dark green color, and soft texture, popularly served as salad greens. Common names include corn salad (or cornsalad), lamb's lettuce, m√¢che, fetticus, feldsalat, nut lettuce, field salad, and rapunzel. In restaurants that feature French cooking, it may be called doucette or raiponce, as an alternative to m√¢che, by which it is best known.
"
1207,1207,,Macadamia Nuts,Macadamia,37,Raw Enthusiasm,4/12/2010,,http://en.wikipedia.org/wiki/Macadamia,"Macadamia is a genus of four species of trees indigenous to Australia and constituting part of the plant family Proteaceae. They grow naturally in north eastern New South Wales and central and south eastern Queensland. Common names include macadamia, macadamia nut, Queensland nut, bush nut, maroochi nut, queen of nuts and bauple nut; and from Indigenous Australians' languages bauple, gyndl, jindilli, and boombera. Previously, more species, with disjunct distributions, were named as members of this genus Macadamia. "
1208,1208,,Macadamia Nuts,Macadamia,122,Viewers' Choice!,4/3/2012,The basket items were determined via a viewer poll.,http://en.wikipedia.org/wiki/Macadamia,"Macadamia is a genus of four species of trees indigenous to Australia and constituting part of the plant family Proteaceae. They grow naturally in north eastern New South Wales and central and south eastern Queensland. Common names include macadamia, macadamia nut, Queensland nut, bush nut, maroochi nut, queen of nuts and bauple nut; and from Indigenous Australians' languages bauple, gyndl, jindilli, and boombera. Previously, more species, with disjunct distributions, were named as members of this genus Macadamia. "
1209,1209,,Macaroni And Cheese,Macaroni and cheese,166,Leftovers Overload,1/6/2013,The ingredients used in this episode were leftovers.,http://en.wikipedia.org/wiki/Macaroni_and_cheese,"Macaroni and cheese, also called ""mac and cheese"" in American English and Canadian English; ""macaroni pie"" in Caribbean English; and ""macaroni cheese"" in the United Kingdom, Australia, and New Zealand; is a dish consisting of cooked macaroni pasta and cheese, though it can also incorporate other ingredients, such as bread crumbs, Worcestershire sauce and white sauce.
Traditional macaroni and cheese is a casserole baked in the oven; however, it may be prepared in a sauce pan on the top of the stove from scratch or using a packaged mix.
"
1210,1210,,Macaroons,Macaroon,199,Sweet Surprises,7/16/2013,All courses had a sweet as a required ingredient. These sweet ingredients were hidden under a separate cloche.,http://en.wikipedia.org/wiki/Macaroon,"A macaroon (/m√¶k…ôÀàruÀên/ mak-…ô-ROON) is a type of light, baked confection, described as meringue-like cookies depending on their consistency. The original macaroon was a ""small sweet cake consisting largely of ground almonds"" similar to Italian amaretti.
The English word macaroon and French macaron come from the Italian maccarone or maccherone. This word is itself derived from ammaccare, meaning to bruise, used here in reference to the almond paste which is the principal ingredient.
"
1211,1211,,Mâche,Valerianella locusta,194,Mix and Mache,6/16/2013,Roy Handler is the brother of comedienne Chelsea Handler. The Kaiserschmarrn in the dessert round was an instant mix.,http://en.wikipedia.org/wiki/Valerianella_locusta,"Valerianella locusta is a small dicot annual plant of the family Valerianaceae that is an edible leaf vegetable with a characteristic nutty flavor, dark green color, and soft texture, popularly served as salad greens. Common names include corn salad (or cornsalad), lamb's lettuce, m√¢che, fetticus, feldsalat, nut lettuce, field salad, and rapunzel. In restaurants that feature French cooking, it may be called doucette or raiponce, as an alternative to m√¢che, by which it is best known.
"
1212,1212,,Mackerel,Mackerel,39,Chopped Liver,5/2/2010,,http://en.wikipedia.org/wiki/Mackerel,"Mackerel is a common name applied to a number of different species of pelagic fish, mostly, but not exclusively, from the family Scombridae. They are found in both temperate and tropical seas, mostly living along the coast or offshore in the oceanic environment.
Mackerel typically have vertical stripes on their backs and deeply forked tails. Many species are restricted in their distribution ranges, and live in separate populations or fish stocks based on geography. "
1213,1213,Madeleine (cake),Madeleines,,102,Make A Splash!,10/25/2011,,,
